Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Propertycount,Price
St Kilda,2,u,hockingstuart,03-06-2017,5,3182,,,,,,,Southern Metropolitan,13240,928000
St Kilda,2,u,Buxton,03-06-2017,5,3182,2,1,1,3093,,,Southern Metropolitan,13240,586500
St Kilda,1,u,Marshall,03-06-2017,5,3182,1,1,1,50,,,Southern Metropolitan,13240,451000
Strathmore,4,h,Frank,03-06-2017,8.2,3041,,,,,,,Western Metropolitan,3284,1865000
Strathmore,4,t,Nelson,03-06-2017,8.2,3041,,,,,,,Western Metropolitan,3284,1200000
Strathmore,5,h,Nelson,03-06-2017,8.2,3041,5,3,6,699,,,Western Metropolitan,3284,1780000
Strathmore,2,h,Considine,03-06-2017,8.2,3041,2,2,1,213,120,1990,Western Metropolitan,3284,790000
Sunbury,3,h,YPA,03-06-2017,31.7,3429,3,2,2,690,,,Western Metropolitan,14092,455000
Sunbury,3,h,Brad,03-06-2017,31.7,3429,3,2,2,600,140,1980,Western Metropolitan,14092,410000
Sunshine,3,u,Sweeney,03-06-2017,10.5,3020,,,,,,,Western Metropolitan,3755,635000
Sunshine,3,h,Jas,03-06-2017,10.5,3020,3,2,3,540,,,Western Metropolitan,3755,775000
Sunshine North,3,h,Sweeney,03-06-2017,10.5,3020,3,1,0,637,,,Western Metropolitan,4217,690500
Sunshine West,3,h,Sweeney,03-06-2017,10.5,3020,3,2,2,535,,,Western Metropolitan,6763,520000
Sunshine West,3,h,Douglas,03-06-2017,10.5,3020,,,,,,,Western Metropolitan,6763,590900
Sunshine West,3,h,S&L,03-06-2017,10.5,3020,,,,,,,Western Metropolitan,6763,670000
Surrey Hills,2,u,HAR,03-06-2017,10.2,3127,2,1,2,193,80,1970,Southern Metropolitan,5457,740000
Taylors Hill,3,h,Barry,03-06-2017,18,3037,3,2,2,666,231,2005,Western Metropolitan,4242,680000
Taylors Lakes,3,h,Barry,03-06-2017,15.5,3038,3,2,2,808,,,Western Metropolitan,5336,790500
Taylors Lakes,3,h,Barry,03-06-2017,15.5,3038,3,2,2,665,,1990,Western Metropolitan,5336,695000
Taylors Lakes,5,h,Barry,03-06-2017,15.5,3038,5,2,2,705,,,Western Metropolitan,5336,805000
Templestowe,3,t,Jellis,03-06-2017,15.5,3106,,,,,,,Eastern Metropolitan,6202,1156000
Templestowe,3,h,Jellis,03-06-2017,15.5,3106,3,2,2,809,188,1975,Eastern Metropolitan,6202,1350000
Templestowe Lower,3,h,hockingstuart,03-06-2017,12.4,3107,,,,,,,Eastern Metropolitan,5420,710000
Templestowe Lower,4,t,Jellis,03-06-2017,12.4,3107,4,3,2,332,198,2013,Eastern Metropolitan,5420,1010000
Thomastown,3,h,Harcourts,03-06-2017,15.3,3074,3,1,2,525,,,Northern Metropolitan,7955,580000
Thomastown,4,h,Harcourts,03-06-2017,15.3,3074,4,1,4,632,,,Northern Metropolitan,7955,653000
Thomastown,3,h,Harcourts,03-06-2017,15.3,3074,3,2,2,545,152,1983,Northern Metropolitan,7955,740000
Thornbury,2,u,Woodards,03-06-2017,7,3071,2,1,1,50,65,1970,Northern Metropolitan,8870,493000
Thornbury,3,h,YPA,03-06-2017,7,3071,3,1,1,435,,,Northern Metropolitan,8870,1240000
Thornbury,2,h,Love,03-06-2017,7,3071,2,1,0,245,,,Northern Metropolitan,8870,1010000
Thornbury,4,h,Jellis,03-06-2017,7,3071,4,1,2,495,120,1925,Northern Metropolitan,8870,1626000
Toorak,1,u,Williams,03-06-2017,4.1,3142,1,1,1,50,64,1965,Southern Metropolitan,7217,550000
Toorak,2,u,RT,03-06-2017,4.1,3142,,,,,,,Southern Metropolitan,7217,1800000
Toorak,3,u,Castran,03-06-2017,4.1,3142,3,2,2,50,,,Southern Metropolitan,7217,2000000
Toorak,2,u,Jellis,03-06-2017,4.1,3142,2,1,1,2076,,,Southern Metropolitan,7217,751000
Toorak,2,u,hockingstuart,03-06-2017,4.1,3142,2,1,1,713,60,1975,Southern Metropolitan,7217,682000
Tullamarine,2,t,Barry,03-06-2017,12.9,3043,2,1,1,108,,,Western Metropolitan,3296,355000
Vermont,4,h,M.J,03-06-2017,17.2,3133,4,2,2,600,,,Eastern Metropolitan,4181,1270000
Vermont,4,t,Harcourts,03-06-2017,17.2,3133,4,2,2,50,207,2008,Eastern Metropolitan,4181,975000
Vermont,3,t,iProperty,03-06-2017,17.2,3133,3,2,2,277,125,2016,Eastern Metropolitan,4181,820000
Vermont South,3,u,Noel,03-06-2017,17.2,3133,3,2,1,302,,,Eastern Metropolitan,4280,750000
Wantirna,2,h,Harcourts,03-06-2017,14.7,3152,2,1,0,1670,,,Eastern Metropolitan,5424,1280000
Warrandyte,4,h,Philip,03-06-2017,21.1,3113,,,,,,,Eastern Metropolitan,2003,850000
Warrandyte,3,h,Fletchers,03-06-2017,21.1,3113,3,1,0,2978,,,Eastern Metropolitan,2003,1200000
Watsonia North,3,h,Barry,03-06-2017,14.5,3087,3,2,1,253,116,2005,Northern Metropolitan,1442,655000
Wattle Glen,5,h,Fletchers,03-06-2017,23.6,3096,,,,,,,Northern Victoria,642,1140000
Werribee,3,h,hockingstuart,03-06-2017,14.7,3030,,,,,,,Western Metropolitan,16166,562000
Werribee,3,h,Triwest,03-06-2017,14.7,3030,3,2,1,805,,,Western Metropolitan,16166,531000
Werribee,3,h,Ray,03-06-2017,14.7,3030,3,2,4,1022,,,Western Metropolitan,16166,490000
Werribee,3,h,Triwest,03-06-2017,14.7,3030,3,1,0,700,151,1950,Western Metropolitan,16166,472000
Werribee,3,h,hockingstuart,03-06-2017,14.7,3030,3,2,1,268,137,2008,Western Metropolitan,16166,467000
Werribee,2,u,Burnham,03-06-2017,14.7,3030,2,1,2,471,,,Western Metropolitan,16166,302500
Werribee,5,h,YPA,03-06-2017,14.7,3030,5,2,2,1014,,,Western Metropolitan,16166,750000
Werribee,3,h,Hayeswinckle,03-06-2017,14.7,3030,3,1,2,530,109,1987,Western Metropolitan,16166,390000
Werribee,3,h,Ray,03-06-2017,14.7,3030,,,,,,,Western Metropolitan,16166,460000
West Footscray,3,h,Village,03-06-2017,6.4,3012,3,2,1,342,123,1920,Western Metropolitan,5058,1155000
West Footscray,2,u,Jas,03-06-2017,6.4,3012,2,1,1,1157,,,Western Metropolitan,5058,480000
West Footscray,3,h,Biggin,03-06-2017,6.4,3012,3,2,3,380,106.4,1945,Western Metropolitan,5058,1100000
West Melbourne,2,u,Nardella,03-06-2017,3.1,3003,2,1,1,50,,,Northern Metropolitan,2230,792000
Westmeadows,3,h,Barry,03-06-2017,16.5,3049,3,1,2,532,122,1975,Northern Metropolitan,2474,540000
Wheelers Hill,4,h,Harcourts,03-06-2017,16.7,3150,4,2,3,800,163,1968,South-Eastern Metropolitan,7392,1171000
Wheelers Hill,3,h,Harcourts,03-06-2017,16.7,3150,3,2,1,658,,,South-Eastern Metropolitan,7392,1408000
Williamstown,3,h,RT,03-06-2017,6.8,3016,3,1,0,333,,,Western Metropolitan,6380,1494000
Williamstown,5,h,Sweeney,03-06-2017,6.8,3016,5,2,2,646,,,Western Metropolitan,6380,2760000
Williamstown,3,h,Sweeney,03-06-2017,6.8,3016,3,2,3,448,,,Western Metropolitan,6380,1285000
Williamstown,4,h,hockingstuart,03-06-2017,6.8,3016,4,2,1,448,311,1998,Western Metropolitan,6380,1900000
Williamstown,3,h,Williams,03-06-2017,6.8,3016,3,1,0,169,,,Western Metropolitan,6380,950000
Wollert,4,h,Ray,03-06-2017,25.5,3750,,,,,,,Northern Metropolitan,2940,530000
Wollert,5,h,Harcourts,03-06-2017,25.5,3750,,,,,,,Northern Metropolitan,2940,745000
Wollert,4,h,Ray,03-06-2017,25.5,3750,,,,,,,Northern Metropolitan,2940,562000
Wyndham Vale,4,h,Ray,03-06-2017,27.2,3024,,,,,,,Western Metropolitan,5262,627000
Yallambie,5,h,Barry,03-06-2017,12.7,3085,5,3,2,617,315,2012,Northern Metropolitan,1369,1670000
Yarraville,2,h,Jas,03-06-2017,6.3,3013,2,1,0,150,79,1900,Western Metropolitan,6543,950000
Yarraville,3,h,RT,03-06-2017,6.3,3013,3,1,0,230,,,Western Metropolitan,6543,1225000
Yarraville,3,h,RT,03-06-2017,6.3,3013,,,,,,,Western Metropolitan,6543,1035000
Aberfeldie,4,h,Brad,03-09-2017,7.5,3040,4,3,3,511,187,1922,Western Metropolitan,1543,1436000
Airport West,2,u,Walshe,03-09-2017,10.4,3042,2,1,1,,,1995,Western Metropolitan,3464,421000
Albert Park,2,h,Greg,03-09-2017,3,3206,2,1,1,,,,Southern Metropolitan,3280,1910000
Albion,5,h,hockingstuart,03-09-2017,10.5,3020,5,2,3,732,,1925,Western Metropolitan,2185,905000
Alphington,4,h,Love,03-09-2017,5.7,3078,4,3,2,720,,,Northern Metropolitan,2211,1680000
Altona,3,h,Greg,03-09-2017,11,3018,3,2,3,530,148,1985,Western Metropolitan,5301,913000
Altona,3,h,hockingstuart,03-09-2017,11,3018,3,1,2,,,,Western Metropolitan,5301,870000
Altona Meadows,3,h,hockingstuart,03-09-2017,15.5,3028,3,1,2,459,,,Western Metropolitan,7630,590000
Altona North,3,h,RT,03-09-2017,9.4,3025,3,1,3,693,134,1950,Western Metropolitan,5132,1070000
Armadale,4,h,Marshall,03-09-2017,6.3,3143,4,2,2,761,255,1900,Southern Metropolitan,4836,5100000
Armadale,2,u,Jellis,03-09-2017,6.3,3143,2,1,,,,1970,Southern Metropolitan,4836,450000
Armadale,2,u,Jellis,03-09-2017,6.3,3143,2,1,1,1501,,,Southern Metropolitan,4836,820000
Armadale,2,h,Marshall,03-09-2017,6.3,3143,2,2,1,,,1969,Southern Metropolitan,4836,1330000
Armadale,3,t,Marshall,03-09-2017,6.3,3143,3,1,2,,,,Southern Metropolitan,4836,1160000
Ascot Vale,3,t,Nelson,03-09-2017,4.3,3032,,,,,,,Western Metropolitan,6567,985000
Ascot Vale,3,h,Jellis,03-09-2017,4.3,3032,,,,,,,Western Metropolitan,6567,877000
Ascot Vale,3,h,Jellis,03-09-2017,4.3,3032,3,1,1,,110,1910,Western Metropolitan,6567,1130000
Ascot Vale,3,h,Brad,03-09-2017,4.3,3032,3,1,,245,91,1945,Western Metropolitan,6567,985000
Avondale Heights,3,u,Moonee,03-09-2017,9.5,3034,3,2,1,,,,Western Metropolitan,4502,695000
Avondale Heights,4,h,Nelson,03-09-2017,9.5,3034,4,1,2,,,,Western Metropolitan,4502,905000
Balaclava,2,u,Buxton,03-09-2017,6.4,3183,2,1,1,2283,85,1980,Southern Metropolitan,2952,600000
Balwyn,2,h,Jellis,03-09-2017,7.9,3103,2,1,1,,90,1950,Southern Metropolitan,5682,870000
Balwyn North,3,h,Jellis,03-09-2017,9.7,3104,3,2,3,683,,,Southern Metropolitan,7809,1785000
Balwyn North,3,t,hockingstuart,03-09-2017,9.7,3104,3,2,5,,,,Southern Metropolitan,7809,1485000
Balwyn North,4,h,Marshall,03-09-2017,9.7,3104,4,2,2,996,,,Southern Metropolitan,7809,2650000
Balwyn North,3,t,Jellis,03-09-2017,9.7,3104,3,2,2,,,,Southern Metropolitan,7809,1005000
Balwyn North,5,h,Marshall,03-09-2017,9.7,3104,5,3,3,711,,1960,Southern Metropolitan,7809,1951000
Balwyn North,5,h,Noel,03-09-2017,9.7,3104,5,2,2,,,,Southern Metropolitan,7809,1800000
Bayswater,3,h,One,03-09-2017,23.2,3153,3,1,2,725,112,1980,Eastern Metropolitan,5030,824000
Beaumaris,4,h,Greg,03-09-2017,17.3,3193,,,,,,,Southern Metropolitan,5366,1375000
Beaumaris,4,h,Buxton,03-09-2017,17.3,3193,4,2,2,,,,Southern Metropolitan,5366,1630000
Beaumaris,3,h,Ray,03-09-2017,17.3,3193,3,2,2,,,,Southern Metropolitan,5366,1405000
Bentleigh,4,h,Jellis,03-09-2017,11.4,3204,4,3,4,,234,1940,Southern Metropolitan,6795,2310000
Bentleigh,3,t,Ray,03-09-2017,11.4,3204,,,,,,,Southern Metropolitan,6795,1200000
Bentleigh,5,h,Jellis,03-09-2017,11.4,3204,5,3,2,,,,Southern Metropolitan,6795,1660000
Bentleigh,2,u,McGrath,03-09-2017,11.4,3204,,,,,,,Southern Metropolitan,6795,770000
Bentleigh East,4,t,Ray,03-09-2017,13.8,3165,4,3,2,,213,2014,Southern Metropolitan,10969,1330000
Bentleigh East,3,h,Woodards,03-09-2017,13.8,3165,3,1,2,,,,Southern Metropolitan,10969,1290000
Bentleigh East,4,h,Jellis,03-09-2017,13.8,3165,4,1,2,583,,,Southern Metropolitan,10969,1216000
Bentleigh East,4,t,Buxton,03-09-2017,13.8,3165,,,,,,,Southern Metropolitan,10969,1138000
Bentleigh East,2,h,Jellis,03-09-2017,13.8,3165,2,1,5,587,,,Southern Metropolitan,10969,1575000
Bentleigh East,3,t,Jellis,03-09-2017,13.8,3165,,,,,,,Southern Metropolitan,10969,1065000
Bentleigh East,3,h,Buxton,03-09-2017,13.8,3165,3,1,2,,121,1960,Southern Metropolitan,10969,1140000
Bentleigh East,3,h,Buxton,03-09-2017,13.8,3165,3,2,2,616,154,1960,Southern Metropolitan,10969,1470000
Berwick,4,h,Harcourts,03-09-2017,35.2,3806,4,2,2,,270,2007,Eastern Victoria,17093,827000
Berwick,5,h,Kaye,03-09-2017,35.2,3806,5,4,2,,216,1984,Eastern Victoria,17093,940000
Berwick,4,h,Harcourts,03-09-2017,35.2,3806,4,3,2,675,332,2005,Eastern Victoria,17093,975000
Black Rock,4,h,hockingstuart,03-09-2017,17.3,3193,4,3,2,665,206,1950,Southern Metropolitan,2866,1950000
Blackburn,5,h,Ray,03-09-2017,13.4,3130,5,2,4,,259,1950,Eastern Metropolitan,5713,1350000
Blackburn North,3,h,Fletchers,03-09-2017,13.4,3130,3,2,1,583,,,Eastern Metropolitan,2867,1160000
Blackburn North,4,h,Jellis,03-09-2017,13.4,3130,4,1,3,757,150,1968,Eastern Metropolitan,2867,1375000
Blackburn North,3,h,Noel,03-09-2017,13.4,3130,3,2,4,798,,,Eastern Metropolitan,2867,1320000
Bonbeach,4,h,Buxton,03-09-2017,27,3196,4,2,1,,,,South-Eastern Metropolitan,2887,840000
Box Hill,3,h,Lindellas,03-09-2017,10.9,3128,3,1,3,1100,,,Eastern Metropolitan,4605,2831000
Box Hill,2,h,Buxton,03-09-2017,10.9,3128,2,1,2,701,94,1940,Eastern Metropolitan,4605,1820000
Briar Hill,2,u,Morrison,03-09-2017,16.1,3088,2,1,1,180,,,Eastern Metropolitan,1390,610000
Brighton,5,h,Marshall,03-09-2017,10.5,3186,5,5,2,830,,,Southern Metropolitan,10579,5500000
Brighton,2,u,Buxton,03-09-2017,10.5,3186,2,1,1,,,,Southern Metropolitan,10579,617000
Brighton,4,t,Marshall,03-09-2017,10.5,3186,4,3,2,,,,Southern Metropolitan,10579,1700000
Brighton,3,h,Marshall,03-09-2017,10.5,3186,3,1,3,,,,Southern Metropolitan,10579,4125000
Brighton East,4,h,Marshall,03-09-2017,10.3,3187,4,2,2,583,323,1925,Southern Metropolitan,6938,2515000
Brighton East,2,u,Buxton,03-09-2017,10.3,3187,2,1,1,111,95,,Southern Metropolitan,6938,817500
Brighton East,3,h,Marshall,03-09-2017,10.3,3187,3,2,3,594,,,Southern Metropolitan,6938,1590000
Brighton East,3,h,Gary,03-09-2017,10.3,3187,3,1,1,602,,,Southern Metropolitan,6938,1775000
Brighton East,2,h,Buxton,03-09-2017,10.3,3187,2,1,1,,,,Southern Metropolitan,6938,780000
Broadmeadows,3,h,Stockdale,03-09-2017,14,3047,3,1,1,659,,,Northern Metropolitan,4294,673000
Brunswick,3,h,Nelson,03-09-2017,5.2,3056,3,1,0,,,,Northern Metropolitan,11918,1400000
Brunswick,3,h,Nelson,03-09-2017,5.2,3056,3,2,1,249,,,Northern Metropolitan,11918,1200000
Brunswick,2,u,Woodards,03-09-2017,5.2,3056,2,1,1,,,,Northern Metropolitan,11918,515000
Brunswick,2,h,hockingstuart,03-09-2017,5.2,3056,2,1,0,140,90,1890,Northern Metropolitan,11918,800000
Brunswick East,2,h,Domain,03-09-2017,4,3057,2,1,,154,76,1890,Northern Metropolitan,5533,1023000
Brunswick East,2,t,Woodards,03-09-2017,4,3057,2,2,1,,,,Northern Metropolitan,5533,755000
Brunswick West,3,t,Nelson,03-09-2017,5.2,3055,,,,,,,Northern Metropolitan,7082,650000
Bulleen,3,u,Parkes,03-09-2017,10.8,3105,3,2,2,,122,2008,Eastern Metropolitan,4480,820000
Bundoora,3,h,Ray,03-09-2017,12.1,3083,3,1,2,532,106,1977,Northern Metropolitan,10175,680000
Bundoora,3,h,Barry,03-09-2017,12.1,3083,3,1,2,,113,1960,Northern Metropolitan,10175,670000
Bundoora,3,h,Stockdale,03-09-2017,12.1,3083,3,1,1,541,120,1960,Northern Metropolitan,10175,715000
Burnside,3,h,Harcourts,03-09-2017,14.8,3023,3,2,2,631,,,Western Metropolitan,1607,657500
Burnside Heights,4,h,HAR,03-09-2017,14.8,3023,4,2,2,,162,2010,Western Metropolitan,1686,580000
Burwood East,3,h,Fletchers,03-09-2017,14.7,3151,3,2,2,369,,,Eastern Metropolitan,4048,930000
Camberwell,4,h,Kay,03-09-2017,7.7,3124,4,3,2,947,,,Southern Metropolitan,8920,4060000
Camberwell,6,h,Kay,03-09-2017,7.7,3124,5,3,4,,,,Southern Metropolitan,8920,3950000
Camberwell,3,h,Marshall,03-09-2017,7.7,3124,3,2,2,,,,Southern Metropolitan,8920,1455000
Camberwell,4,t,Jellis,03-09-2017,7.7,3124,4,2,2,,260,2010,Southern Metropolitan,8920,1850000
Camberwell,3,t,Marshall,03-09-2017,7.7,3124,3,2,1,,,1996,Southern Metropolitan,8920,1600000
Camberwell,3,u,J,03-09-2017,7.7,3124,3,1,2,,,,Southern Metropolitan,8920,950000
Camberwell,2,u,Noel,03-09-2017,7.7,3124,2,1,1,145,72,1970,Southern Metropolitan,8920,692500
Canterbury,2,u,Marshall,03-09-2017,8.4,3126,2,1,1,,,,Southern Metropolitan,3265,615000
Carlton North,2,h,Woodards,03-09-2017,3.5,3054,2,1,1,193,106,1900,Northern Metropolitan,3106,1520000
Carnegie,3,h,Gary,03-09-2017,10.1,3163,3,2,2,,128,2014,Southern Metropolitan,7822,1333000
Carnegie,2,h,Ray,03-09-2017,10.1,3163,,,,,,,Southern Metropolitan,7822,645000
Caulfield East,4,h,Gary,03-09-2017,8.4,3145,4,2,2,664,155,1900,Southern Metropolitan,608,1609000
Caulfield East,4,t,Besser,03-09-2017,8.4,3145,4,2,2,,169,2000,Southern Metropolitan,608,985000
Caulfield North,2,u,Gary,03-09-2017,7.8,3161,2,1,1,,,,Southern Metropolitan,6923,490000
Chadstone,2,h,Barry,03-09-2017,11.7,3148,2,1,1,,,,Southern Metropolitan,3582,1131000
Chelsea Heights,3,h,Ray,03-09-2017,27,3196,3,1,2,,,,South-Eastern Metropolitan,2076,721000
Cheltenham,3,h,O'Brien,03-09-2017,17.9,3192,3,1,2,,,,Southern Metropolitan,9758,960000
Cheltenham,3,h,O'Brien,03-09-2017,17.9,3192,3,2,2,657,195,1958,Southern Metropolitan,9758,1295000
Clayton,3,h,Ray,03-09-2017,16.7,3168,3,1,1,,128,1955,South-Eastern Metropolitan,5837,1238888
Clayton South,2,u,Buxton,03-09-2017,17.5,3169,2,1,2,914,89,1970,South-Eastern Metropolitan,4734,575000
Clifton Hill,3,h,Jellis,03-09-2017,3.6,3068,3,2,,123,128,1990,Northern Metropolitan,2954,1436000
Coburg,3,h,Ray,03-09-2017,6.7,3058,3,1,1,,,,Northern Metropolitan,11204,1020000
Coburg,4,h,Brad,03-09-2017,6.7,3058,4,1,1,560,,,Northern Metropolitan,11204,1055000
Coburg,4,h,Nelson,03-09-2017,6.7,3058,4,1,1,452,,,Northern Metropolitan,11204,1080000
Coburg,2,t,Brad,03-09-2017,6.7,3058,2,2,1,,97,2008,Northern Metropolitan,11204,685000
Coburg,2,h,Jellis,03-09-2017,6.7,3058,2,1,1,,86,1960,Northern Metropolitan,11204,550000
Coburg,3,h,McDonald,03-09-2017,6.7,3058,3,1,4,460,141,1920,Northern Metropolitan,11204,1210000
Coburg,2,t,Brad,03-09-2017,6.7,3058,2,2,1,1965,103,2000,Northern Metropolitan,11204,631000
Coburg North,4,h,RW,03-09-2017,6.7,3058,4,1,5,565,,,Northern Metropolitan,3445,926000
Coolaroo,3,h,YPA,03-09-2017,17.4,3048,3,1,2,551,118,1975,Northern Metropolitan,1124,457000
Craigieburn,4,h,YPA,03-09-2017,20.6,3064,4,2,1,,195,1985,Northern Metropolitan,15510,560000
Craigieburn,4,h,RW,03-09-2017,20.6,3064,4,2,2,406,,,Northern Metropolitan,15510,505000
Craigieburn,3,h,Ray,03-09-2017,20.6,3064,3,2,2,,154,2010,Northern Metropolitan,15510,497500
Croydon,3,u,McGrath,03-09-2017,23,3136,3,1,2,,203,1930,Eastern Metropolitan,11925,640000
Croydon,4,h,Fletchers,03-09-2017,23,3136,4,2,2,655,184,1965,Eastern Metropolitan,11925,730000
Croydon,3,h,iTRAK,03-09-2017,23,3136,3,1,8,1082,,,Eastern Metropolitan,11925,1005000
Croydon Hills,3,h,Hoskins,03-09-2017,23,3136,3,2,2,659,131,1987,Eastern Metropolitan,1705,790000
Croydon Hills,3,h,Hoskins,03-09-2017,23,3136,3,2,2,899,,,Eastern Metropolitan,1705,931000
Croydon Hills,4,h,buyMyplace,03-09-2017,23,3136,4,3,4,,246,1988,Eastern Metropolitan,1705,1000000
Croydon North,3,h,Philip,03-09-2017,23,3136,3,2,1,1007,250,1980,Eastern Metropolitan,2985,857000
Dallas,3,h,YPA,03-09-2017,14,3047,3,1,1,627,97,1960,Northern Metropolitan,2246,477000
Dandenong,3,h,C21,03-09-2017,24.7,3175,3,1,1,372,,,South-Eastern Metropolitan,10894,500000
Dandenong,3,h,McLennan,03-09-2017,24.7,3175,3,2,1,673,125,1995,South-Eastern Metropolitan,10894,510000
Dandenong North,3,h,Del,03-09-2017,24.7,3175,3,1,2,544,,,South-Eastern Metropolitan,8322,632000
Dandenong North,3,h,McLennan,03-09-2017,24.7,3175,3,1,3,,,,South-Eastern Metropolitan,8322,610000
Dandenong North,3,h,YPA,03-09-2017,24.7,3175,3,1,,,90,1960,South-Eastern Metropolitan,8322,585000
Dandenong North,4,h,C21,03-09-2017,24.7,3175,4,2,1,,,,South-Eastern Metropolitan,8322,750000
Derrimut,4,h,Stockdale,03-09-2017,14.7,3030,4,2,4,,313,2010,Western Metropolitan,2276,850000
Diamond Creek,4,h,Barry,03-09-2017,21.8,3089,4,2,2,879,235,1995,Northern Victoria,4258,950000
Dingley Village,4,h,Obrien,03-09-2017,22.2,3172,4,2,2,615,,,South-Eastern Metropolitan,3940,955000
Doncaster,4,h,Barry,03-09-2017,12.4,3108,4,2,3,652,218,1970,Eastern Metropolitan,9028,1375000
Doncaster,3,h,Buxton,03-09-2017,12.4,3108,,,,,,,Eastern Metropolitan,9028,1400000
Doncaster,4,h,Jellis,03-09-2017,12.4,3108,4,2,2,,248,1975,Eastern Metropolitan,9028,1275000
Doncaster,5,h,Buxton,03-09-2017,12.4,3108,5,3,2,630,,,Eastern Metropolitan,9028,1820000
Doncaster East,3,h,Jellis,03-09-2017,14.3,3109,3,1,3,713,,,Eastern Metropolitan,10999,1482000
Doncaster East,3,h,Barry,03-09-2017,14.3,3109,3,2,2,,136,2007,Eastern Metropolitan,10999,1050000
Doncaster East,4,h,Barry,03-09-2017,14.3,3109,4,2,2,775,,,Eastern Metropolitan,10999,1470000
Doncaster East,3,u,Barry,03-09-2017,14.3,3109,3,2,2,,,,Eastern Metropolitan,10999,1050000
Doncaster East,4,t,Barry,03-09-2017,14.3,3109,4,2,2,723,235,2009,Eastern Metropolitan,10999,1175000
Doncaster East,3,h,Barry,03-09-2017,14.3,3109,3,1,2,,112,1960,Eastern Metropolitan,10999,937000
Doncaster East,3,u,McGrath,03-09-2017,14.3,3109,3,1,2,,,1975,Eastern Metropolitan,10999,800000
Doncaster East,3,h,Ray,03-09-2017,14.3,3109,3,2,1,646,170,1975,Eastern Metropolitan,10999,1381000
Doncaster East,3,t,Parkes,03-09-2017,14.3,3109,,,,,,,Eastern Metropolitan,10999,920000
Doncaster East,3,h,Barry,03-09-2017,14.3,3109,3,1,2,,132,1970,Eastern Metropolitan,10999,1701000
Doncaster East,3,h,Fletchers,03-09-2017,14.3,3109,3,2,1,848,,,Eastern Metropolitan,10999,1620000
Donvale,3,t,Noel,03-09-2017,16.1,3111,3,2,2,247,,,Eastern Metropolitan,4790,1171000
Doreen,4,h,HAR,03-09-2017,25.9,3754,4,2,2,387,,,Northern Victoria,7254,555000
Doveton,3,h,Boutique,03-09-2017,28.8,3177,3,1,2,,87,1950,South-Eastern Metropolitan,3533,500500
Eltham North,3,h,Morrison,03-09-2017,18,3095,3,2,2,662,,,Eastern Metropolitan,2346,881017
Elwood,1,u,Pride,03-09-2017,7.2,3184,1,1,2,,,,Southern Metropolitan,8989,660000
Elwood,2,u,Chisholm,03-09-2017,7.2,3184,2,1,0,643,,1950,Southern Metropolitan,8989,670000
Endeavour Hills,3,h,Fletchers,03-09-2017,28.5,3802,3,1,2,,97,1975,South-Eastern Metropolitan,8443,613000
Epping,4,h,hockingstuart,03-09-2017,19.6,3076,4,2,2,,,,Northern Metropolitan,10926,620000
Epping,4,h,HAR,03-09-2017,19.6,3076,4,1,5,548,,,Northern Metropolitan,10926,652000
Epping,3,h,Millership,03-09-2017,19.6,3076,3,1,2,654,,,Northern Metropolitan,10926,557500
Epping,4,h,Love,03-09-2017,19.6,3076,4,2,2,,,,Northern Metropolitan,10926,599500
Epping,3,h,hockingstuart,03-09-2017,19.6,3076,3,2,2,,,,Northern Metropolitan,10926,569000
Epping,3,h,Ray,03-09-2017,19.6,3076,3,1,2,,110,1980,Northern Metropolitan,10926,582000
Essendon,4,h,Nelson,03-09-2017,7.5,3040,4,1,1,,167,1970,Western Metropolitan,9264,1620000
Essendon,4,t,Barry,03-09-2017,7.5,3040,4,3,1,205,168,2010,Western Metropolitan,9264,1185000
Essendon,3,h,Nelson,03-09-2017,7.5,3040,3,2,2,,,,Western Metropolitan,9264,1210000
Essendon,4,h,Nelson,03-09-2017,7.5,3040,4,2,3,920,256,1990,Western Metropolitan,9264,2100000
Essendon,4,h,Barry,03-09-2017,7.5,3040,4,1,1,478,,,Western Metropolitan,9264,900000
Essendon,3,h,Nelson,03-09-2017,7.5,3040,3,1,2,649,,,Western Metropolitan,9264,1500000
Essendon,2,u,Barry,03-09-2017,7.5,3040,2,1,1,,,,Western Metropolitan,9264,850000
Essendon,2,t,Nelson,03-09-2017,7.5,3040,,,,,,,Western Metropolitan,9264,700000
Essendon North,3,h,Nelson,03-09-2017,8.2,3041,3,2,2,,215,2013,Western Metropolitan,1308,1260000
Essendon North,3,u,Nelson,03-09-2017,8.2,3041,3,2,1,256,125,2000,Western Metropolitan,1308,801000
Fairfield,3,h,Nelson,03-09-2017,5.7,3078,3,2,1,292,117,1930,Northern Metropolitan,2970,1492000
Fairfield,2,u,Nelson,03-09-2017,5.7,3078,2,1,2,,73,2012,Northern Metropolitan,2970,746500
Fawkner,2,t,Alexkarbon,03-09-2017,13.1,3060,2,1,2,177,84,2013,Northern Metropolitan,5070,515000
Ferntree Gully,3,h,Barry,03-09-2017,24.8,3156,3,1,2,944,104,1981,Eastern Metropolitan,10788,760000
Fitzroy,3,h,Jellis,03-09-2017,2.1,3065,3,2,1,203,163,1890,Northern Metropolitan,5825,2300000
Fitzroy,2,u,Purplebricks,03-09-2017,2.1,3065,2,1,1,,63,2011,Northern Metropolitan,5825,630000
